,tweets,sentiment
148,"Siapa bilang anies sukses bangun jakarta. Nyatanya masih ada rakyat yg menggugat krn kebanjiran, demo debu batu bara tdk ditanggapi, untungnya fpi dan hti teman sekolam jd tdk ikut demo. Sumur resapan, kasus munjul, formula e blm jelas."
149,"Mustinya ada agenda pembalap nginap di pulau seribu, sama tanam bakau nih. Biar aktivitas mitigasi climate change dan parawisatanya juga tersorot. Perhatian panitia jangan cuman soal race mobil listrik #FormulaEJakarta"
150,Daftar pembalap nya
151,Congor congor laknatulloh liat aja nanti giliran terjadi formula e apalagi yg akan kau fitnahkan kami udah tau wahai cebong laknatulloh tetap semangat pa anies dan Dki Jakarta .......
152,"Mungkin dulu niatnya wan Abud gelaran Formula E ini jauh lebih mudah dari gelar konser musik kelas dunia di Jakarta. Ia (sorry) 'sembrono' klo Jakarta BUKAN hanya milik pemprop, ada juga aturan musti ijin ke pempus klo lokasinya mo dipakai. Ini yg jarang diketahui masyarakat luas"
153,Yaa elaahh elu Dumdum breett ...Formula E itu minimal ada barang bukti dngn taksiran harga khusus daerah Jakarta kalau mau dibandingkan dngn Mandalika.. dan kasus 2 ( dua ) pangeran elu gak ada suaranya..yg gak kelihatan phisiknya tapi VALUEnya GUEDE BUANGET ... Kebangetan !!!👎
154,"Dapat bocoran event ""Road to Jakarta Eprix 2022"" nih, makin-makin penasaran gak? 😁😁😁📽️ :  #FormulaE #FormulaEJakarta"
155,"Konser Justin Bieber bulan November tapi tiketnya diburu bahkan tiket tambahan langsung habis....63 hari jelang Formula E ek Jakarta, penjualan tiketnya masih tanda tanya, sirkuit belum jadi, sponsor entah ada/tidak.. .🤔🤔 Anies baswEDAN pecas ndahe... #formulaE dan"
156,"Harusnya tulisannya Enjoy Jakarta karena Formula E sukses nama Indonesia pasti terbawa juga, selama ini proses pengerjaan hingga pembangunan melalui jalan yg terjal dan curam cobaan demi cobaan dilalui hingga saat ini, tapi disayangkan kesannya projek ini hanya projek Pemda DKI."
157,"Siaap,,, nonton pengumuman pembatalan gelaran Formula E Jakarta ?"
158,"Sirkuit Formula E Jakarta, Pakar Ini Ingatkan Keselamatan Pembalap –  – Google Berita – Arenanews  - ["""
159,"Sirkuit Formula E Jakarta, Pakar Ini Ingatkan Keselamatan Pembalap –  – Google Berita – Arenanews"
160,"ikut sukseskan Formula E yuk,  nonton balapan di Jakarta pasti seru kan..!  #KPKsudahbenar"
161,"Ya aku harap juga begini, semoga tidak mundur jadwalnya. Mari kita tunggu hasilnya besok"
162,"Jakarta bersama kota-kota besar dunia di jadwal Formula EE disini singkatan dari Electric bukan EbongKalo Mandalika sedemikian megah, begitupun Jakarta"
163,Info tiket donk min. Belinya dimana ya?
164,.... saran nih.....Kalo jadi nih di bulan Juni....Kalo beneran butuh tambahan info (kalo....)Sekalian aja tanya official  ...Kebetulan lagi pada ngumpul di Jakarta....Gak repot dan susah kirim surat panggilan.....Jauh pulakkk....
165,BuzzeRp sedang sibuk cari sisi negatipnya.Klu gak nemu...dikait kaitkan dg hal yg tidak relevan.Misal kelanggkaan minyak goreng...banjir...DP 0 rupiah dll
166,Mari kita doakan WSBK di Mandalika dan Formula E di Jakarta sama-sama lancar.. Amiin YRA
167,"nyebut TGUPP aja gak bisa sok kritik Formula E. Anies  itu dapat WTP setiap tahun, baru2 ini raih peringkat terbaik pencegahan korupsi. Intinya twitmu ini tdk perlu TGUPP yg menjelaskan soal transparansi, saya aja sbagai warga Jakarta yg puas dngan kinerja Anies."
168,"Ada apa dgn gub. Anies, sirkuit formula E dibuat asal salah Anies. Tiang pancang jalur kereta cepat Jakarta-Bandung dibongkar, salah Jokowi. Sepertinya Anies disejajarkan dgn Jokowi, apa-apa salah Anies, apa-apa salah Jokowi. Apa ini berarti tahun 2024 Anies akan gantikan Jokowi."
169,Formula E Jakarta Indonesia kafan?
170,"Mandalika satu Kebanggaan Nasional.. Formula E, akan jadi Kebanggaan  Jakarta, jg pasti Nasional. Krn dunia akan lihat Negara nya, bkn Kota nya.. Bangsat Bangsa saja yg mengkotak2kan dua even besar ini.. Gak jadi Bangsat kan elu gak makan kali ya"
171,"Mandalika satu Kebanggaan Nasional.. Formula E, akan jadi Kebanggaan  Jakarta, jg pasti Nasional. Krn dunia akan lihat Negara nya, bkn Kota nya.. Bangsat Bangsa saja yg mengkotak2kan dua even besar ini.. Gak jadi Bangsat kan elu gak makan.."
172,"FORMULA E 4,5 TRILIUN UANG RAKYAT JAKARTA. AJANG KORUPSI BERJAMAAH"
